"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 02:25:01 UTC 2026","Thu Jun 04 02:25:02 UTC 2026","374","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","cartSelectionEnablesCheckout","Cart item enables checkout button",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.api.DtccAllureApiSuitesTest","com.dtcc.automation.coverage.api.DtccAllureApiSuitesTest","apiContractCoverageIsDocumented","API suite validates public-safe backend contract evidence","Adds API endpoint evidence to Allure Suites, Packages, Behaviors, and Graphs views."
"passed","Thu Jun 04 02:25:18 UTC 2026","Thu Jun 04 02:25:18 UTC 2026","28","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","apiSecureSummaryRejectsMissingToken","API secure summary rejects missing token",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","apiSearchQueryValidation","API - Search query validation",""
"passed","Thu Jun 04 02:24:59 UTC 2026","Thu Jun 04 02:25:00 UTC 2026","801","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.AllureEnabledUiReportTest","com.dtcc.automation.reports.AllureEnabledUiReportTest","orderLifecycleProducesDetailedAllureReport","Allure-enabled order flow should complete successfully","Validates login, catalogue selection, cart conversion, payment submission, and confirmation using Allure steps and attachments."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","qualityGatePassRate","Quality Gate - pass rate",""
"skipped","Thu Jun 04 02:25:03 UTC 2026","Thu Jun 04 02:25:03 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","intentionalRestDefectExampleIsOptInOnly","Intentional REST defect example is opt-in only",""
"passed","Thu Jun 04 02:25:20 UTC 2026","Thu Jun 04 02:25:20 UTC 2026","8","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","databaseCountsOrdersBySettlementStatus","Database counts orders by settlement status",""
"passed","Thu Jun 04 02:25:16 UTC 2026","Thu Jun 04 02:25:16 UTC 2026","31","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","apiCreatesPublicSafeOrderInstruction","API creates public-safe order instruction",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","dbFailureReason","DB - Failed transaction reason",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.api.DtccAllureApiSuitesTest","com.dtcc.automation.coverage.api.DtccAllureApiSuitesTest","apiContractCoverageIsDocumented","API suite validates public-safe backend contract evidence","Adds API endpoint evidence to Allure Suites, Packages, Behaviors, and Graphs views."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","databaseValidationEvidenceIsRepresented","Database - SQL validation evidence is represented",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","apiRateLimit","API - Rate limit response",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","apiBackendContractEvidenceIsRepresented","API/Backend - Public-safe API contract evidence is represented",""
"passed","Thu Jun 04 02:25:06 UTC 2026","Thu Jun 04 02:25:06 UTC 2026","59","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","loginUsernameFieldHasAccessibleLabel","Mock DTCC login page exposes accessible username field",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.ui.DtccAllureUiSuitesTest","com.dtcc.automation.coverage.ui.DtccAllureUiSuitesTest","uiPageCoverageMetadataIsDocumented","UI suite validates DTCC public page coverage metadata","Adds UI page-template evidence to Allure Suites, Packages, and Behaviors tabs."
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.db.DtccAllureDbSuitesTest","com.dtcc.automation.coverage.db.DtccAllureDbSuitesTest","dbCoverageIsDocumented","DB suite validates SQL evidence","Adds database validation evidence to Allure packages, behaviors, and suites."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","databaseValidationEvidenceIsRepresented","Database - SQL validation evidence is represented",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","qualityGateBlockerDefects","Quality Gate - blocker defects",""
"passed","Thu Jun 04 02:25:09 UTC 2026","Thu Jun 04 02:25:10 UTC 2026","1736","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","restClearingEligibilityEndpointValidatesSymbol","REST clearing eligibility endpoint validates symbol",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.ui.DtccAllureUiSuitesTest","com.dtcc.automation.coverage.ui.DtccAllureUiSuitesTest","uiPageCoverageMetadataIsDocumented","UI suite validates DTCC public page coverage metadata","Adds UI page-template evidence to Allure Suites, Packages, and Behaviors tabs."
"passed","Thu Jun 04 02:25:30 UTC 2026","Thu Jun 04 02:25:30 UTC 2026","5","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.database.SqlDatabaseValidationTest","com.dtcc.automation.database.SqlDatabaseValidationTest","validatesSettlementOrdersUsingExampleSqlData","Creates H2 SQL schema, loads example data, and validates settlement status counts",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.reportui.DtccAllureReportUiSuitesTest","com.dtcc.automation.coverage.reportui.DtccAllureReportUiSuitesTest","reportUiCoverageIsDocumented","Report UI suite validates report portal evidence","Adds report UI evidence to Allure so the report itself has visible suite and behavior data."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","dtccWebsiteAreaHasDefinedAutomationScope","UI/Content - DTCC website area has defined automation scope","Adds detailed Allure records for the primary areas of dtcc.com and what the automation framework should validate."
"passed","Thu Jun 04 02:25:22 UTC 2026","Thu Jun 04 02:25:23 UTC 2026","333","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","uiAddToCartAloneDoesNotRevealPaymentButton","UI add-to-cart alone does not reveal payment button",""
"passed","Thu Jun 04 02:25:18 UTC 2026","Thu Jun 04 02:25:18 UTC 2026","31","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","apiNoticesEndpointReturnsMultipleItems","API notices endpoint returns multiple public items",""
"passed","Thu Jun 04 02:25:16 UTC 2026","Thu Jun 04 02:25:16 UTC 2026","24","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","apiContentTypeIsJsonForReferenceData","API content type is JSON for reference data",""
"passed","Thu Jun 04 02:25:01 UTC 2026","Thu Jun 04 02:25:01 UTC 2026","272","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","com.dtcc.automation.reports.DtccPublicAllureShowcaseTest","blankCredentialsAreRejected","Blank credentials are rejected",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","41","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","apiAuditEndpointReturnsTraceIdentifier","API audit endpoint returns trace identifier",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.reportui.DtccAllureReportUiSuitesTest","com.dtcc.automation.coverage.reportui.DtccAllureReportUiSuitesTest","reportUiCoverageIsDocumented","Report UI suite validates report portal evidence","Adds report UI evidence to Allure so the report itself has visible suite and behavior data."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","dtccWebsiteAreaHasDefinedAutomationScope","UI/Content - DTCC website area has defined automation scope","Adds detailed Allure records for the primary areas of dtcc.com and what the automation framework should validate."
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.reportui.DtccAllureReportUiSuitesTest","com.dtcc.automation.coverage.reportui.DtccAllureReportUiSuitesTest","reportUiCoverageIsDocumented","Report UI suite validates report portal evidence","Adds report UI evidence to Allure so the report itself has visible suite and behavior data."
"passed","Thu Jun 04 02:25:21 UTC 2026","Thu Jun 04 02:25:21 UTC 2026","6","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","databaseMergeUpdatesExistingOrderStatus","Database merge updates existing order status",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","uiLegalRegulatoryArea","UI - Legal and Regulatory area",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.db.DtccAllureDbSuitesTest","com.dtcc.automation.coverage.db.DtccAllureDbSuitesTest","dbCoverageIsDocumented","DB suite validates SQL evidence","Adds database validation evidence to Allure packages, behaviors, and suites."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","apiBackendContractEvidenceIsRepresented","API/Backend - Public-safe API contract evidence is represented",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.api.DtccAllureApiSuitesTest","com.dtcc.automation.coverage.api.DtccAllureApiSuitesTest","apiContractCoverageIsDocumented","API suite validates public-safe backend contract evidence","Adds API endpoint evidence to Allure Suites, Packages, Behaviors, and Graphs views."
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.db.DtccAllureDbSuitesTest","com.dtcc.automation.coverage.db.DtccAllureDbSuitesTest","dbCoverageIsDocumented","DB suite validates SQL evidence","Adds database validation evidence to Allure packages, behaviors, and suites."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","uiPdfLibrary","UI - PDF Library coverage",""
"passed","Thu Jun 04 02:25:21 UTC 2026","Thu Jun 04 02:25:21 UTC 2026","7","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","databasePrimaryKeyPreventsDuplicateOrderIds","Database primary key prevents duplicate order ids",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.ui.DtccAllureUiSuitesTest","com.dtcc.automation.coverage.ui.DtccAllureUiSuitesTest","uiPageCoverageMetadataIsDocumented","UI suite validates DTCC public page coverage metadata","Adds UI page-template evidence to Allure Suites, Packages, and Behaviors tabs."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","apiBackendContractEvidenceIsRepresented","API/Backend - Public-safe API contract evidence is represented",""
"skipped","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","intentionalApiDefect","Intentional API defect example",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","dtccWebsiteAreaHasDefinedAutomationScope","UI/Content - DTCC website area has defined automation scope","Adds detailed Allure records for the primary areas of dtcc.com and what the automation framework should validate."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","apiLatencySmoke","API - Latency smoke",""
"passed","Thu Jun 04 02:25:17 UTC 2026","Thu Jun 04 02:25:17 UTC 2026","37","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","apiMalformedSymbolRequestReturnsBadRequest","API malformed symbol request returns bad request",""
"skipped","Thu Jun 04 02:24:59 UTC 2026","Thu Jun 04 02:24:59 UTC 2026","5","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.AllureEnabledUiReportTest","com.dtcc.automation.reports.AllureEnabledUiReportTest","intentionalFailureCreatesAllureDefectExample","Intentional Allure failure example for defect management","This test intentionally fails only when includeIntentionalFailures=true so the Allure report shows a realistic failed defect example."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","dbReconciliationCount","DB - Reconciliation count",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","databaseValidationEvidenceIsRepresented","Database - SQL validation evidence is represented",""
"passed","Thu Jun 04 02:25:26 UTC 2026","Thu Jun 04 02:25:26 UTC 2026","48","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","com.dtcc.automation.reports.DtccMoreAllureCoverageTest","uiPageTitleIdentifiesMockLifecycleApp","UI page title identifies the mock lifecycle app",""
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","dbAuditTrail","DB - Audit trail transition",""
"skipped","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","1","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","com.dtcc.automation.reports.DtccExtendedAllureCoverageTest","intentionalUiDefect","Intentional UI defect example",""
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.reportui.DtccAllureReportUiSuitesTest","com.dtcc.automation.coverage.reportui.DtccAllureReportUiSuitesTest","reportUiCoverageIsDocumented","Report UI suite validates report portal evidence","Adds report UI evidence to Allure so the report itself has visible suite and behavior data."
"passed","Thu Jun 04 02:25:28 UTC 2026","Thu Jun 04 02:25:28 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.coverage.ui.DtccAllureUiSuitesTest","com.dtcc.automation.coverage.ui.DtccAllureUiSuitesTest","uiPageCoverageMetadataIsDocumented","UI suite validates DTCC public page coverage metadata","Adds UI page-template evidence to Allure Suites, Packages, and Behaviors tabs."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","dtccWebsiteAreaHasDefinedAutomationScope","UI/Content - DTCC website area has defined automation scope","Adds detailed Allure records for the primary areas of dtcc.com and what the automation framework should validate."
"passed","Thu Jun 04 02:25:14 UTC 2026","Thu Jun 04 02:25:14 UTC 2026","0","DTCC Allure UI Report Suite","Allure Annotated UI API Database Tests","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","com.dtcc.automation.reports.DtccAdditionalAllureCoverageTest","dtccWebsiteAreaHasDefinedAutomationScope","UI/Content - DTCC website area has defined automation scope","Adds detailed Allure records for the primary areas of dtcc.com and what the automation framework should validate."
